plz	ort	landkreis	bundesland
21368	Boitze	Landkreis Lüneburg	Niedersachsen
17268	Boitzenburger Land	Landkreis Uckermark	Brandenburg
19258	Boizenburg/Elbe	Landkreis Ludwigslust-Parchim	Mecklenburg-Vorpommern
25364	Bokel	Kreis Pinneberg	Schleswig-Holstein
24802	Bokel	Kreis Rendsburg-Eckernförde	Schleswig-Holstein
25596	Bokelrehm	Kreis Steinburg	Schleswig-Holstein
38556	Bokensdorf	Landkreis Gifhorn	Niedersachsen
25335	Bokholt-Hanredder	Kreis Pinneberg	Schleswig-Holstein
25560	Bokhorst	Kreis Steinburg	Schleswig-Holstein
25572	Bokhorst	Kreis Steinburg	Schleswig-Holstein
24860	Böklund	Kreis Schleswig-Flensburg	Schleswig-Holstein
24220	Boksee	Kreis Plön	Schleswig-Holstein
67295	Bolanden	Donnersbergkreis	Rheinland-Pfalz
17392	Boldekow	Landkreis Vorpommern-Greifswald	Mecklenburg-Vorpommern
79677	Böllen	Landkreis Lörrach	Baden-Württemberg
55624	Bollenbach	Landkreis Birkenfeld	Rheinland-Pfalz
76887	Böllenborn	Landkreis Südliche Weinstraße	Rheinland-Pfalz
54669	Bollendorf	Eifelkreis Bitburg-Prüm	Rheinland-Pfalz
17207	Bollewick	Landkreis Mecklenburgische Seenplatte	Mecklenburg-Vorpommern
24855	Bollingstedt	Kreis Schleswig-Flensburg	Schleswig-Holstein
79283	Bollschweil	Landkreis Breisgau-Hochschwarzwald	Baden-Württemberg
57648	Bölsberg	Westerwaldkreis	Rheinland-Pfalz
87538	Bolsterlang	Landkreis Oberallgäu	Bayern
23946	Boltenhagen	Landkreis Nordwestmecklenburg	Mecklenburg-Vorpommern
88361	Boms	Landkreis Ravensburg	Baden-Württemberg
25850	Bondelum	Kreis Nordfriesland	Schleswig-Holstein
71149	Bondorf	Landkreis Böblingen	Baden-Württemberg
24620	Bönebüttel	Kreis Plön	Schleswig-Holstein
56579	Bonefeld	Landkreis Neuwied	Rheinland-Pfalz
59199	Bönen	Kreis Unna	Nordrhein-Westfalen
54316	Bonerath	Landkreis Trier-Saarburg	Rheinland-Pfalz
53539	Bongard	Landkreis Vulkaneifel	Rheinland-Pfalz
53111	Bonn		Nordrhein-Westfalen
53113	Bonn		Nordrhein-Westfalen
53115	Bonn		Nordrhein-Westfalen
53117	Bonn		Nordrhein-Westfalen
53119	Bonn		Nordrhein-Westfalen
53121	Bonn		Nordrhein-Westfalen
53123	Bonn		Nordrhein-Westfalen
53125	Bonn		Nordrhein-Westfalen
53127	Bonn		Nordrhein-Westfalen
53129	Bonn		Nordrhein-Westfalen
53173	Bonn		Nordrhein-Westfalen
53175	Bonn		Nordrhein-Westfalen
53177	Bonn		Nordrhein-Westfalen
53179	Bonn		Nordrhein-Westfalen
53225	Bonn		Nordrhein-Westfalen
53227	Bonn		Nordrhein-Westfalen
53229	Bonn		Nordrhein-Westfalen
79848	Bonndorf im Schwarzwald	Landkreis Waldshut	Baden-Württemberg
74357	Bönnigheim	Landkreis Ludwigsburg	Baden-Württemberg
25474	Bönningstedt	Kreis Pinneberg	Schleswig-Holstein
86486	Bonstetten	Landkreis Augsburg	Bayern
17322	Boock	Landkreis Vorpommern-Greifswald	Mecklenburg-Vorpommern
56729	Boos	Landkreis Mayen-Koblenz	Rheinland-Pfalz
87737	Boos	Landkreis Unterallgäu	Bayern
55595	Boos	Landkreis Bad Kreuznach	Rheinland-Pfalz
24598	Boostedt	Kreis Segeberg	Schleswig-Holstein
73441	Bopfingen	Ostalbkreis	Baden-Württemberg
56154	Boppard	Rhein-Hunsrück-Kreis	Rheinland-Pfalz
33178	Borchen	Kreis Paderborn	Nordrhein-Westfalen
39435	Bördeaue	Salzlandkreis	Sachsen-Anhalt
39448	Börde-Hakel	Salzlandkreis	Sachsen-Anhalt
39221	Bördeland	Salzlandkreis	Sachsen-Anhalt
25821	Bordelum	Kreis Nordfriesland	Schleswig-Holstein
25842	Bordelum	Kreis Nordfriesland	Schleswig-Holstein
25852	Bordelum	Kreis Nordfriesland	Schleswig-Holstein
24582	Bordesholm	Kreis Rendsburg-Eckernförde	Schleswig-Holstein
24392	Boren	Kreis Schleswig-Flensburg	Schleswig-Holstein
54422	Börfink	Landkreis Birkenfeld	Rheinland-Pfalz
24589	Borgdorf-Seedorf	Kreis Rendsburg-Eckernförde	Schleswig-Holstein
34434	Borgentreich	Kreis Höxter	Nordrhein-Westfalen
26904	Börger	Landkreis Emsland	Niedersachsen
18211	Börgerende-Rethwisch	Landkreis Rostock	Mecklenburg-Vorpommern
33829	Borgholzhausen	Kreis Gütersloh	Nordrhein-Westfalen
24794	Borgstedt	Kreis Rendsburg-Eckernförde	Schleswig-Holstein
25938	Borgsum	Kreis Nordfriesland	Schleswig-Holstein
24857	Borgwedel	Kreis Schleswig-Flensburg	Schleswig-Holstein
46325	Borken	Kreis Borken	Nordrhein-Westfalen
34582	Borken	Schwalm-Eder-Kreis	Hessen
14822	Borkheide	Landkreis Potsdam-Mittelmark	Brandenburg
19406	Borkow	Landkreis Ludwigslust-Parchim	Mecklenburg-Vorpommern
26757	Borkum	Landkreis Leer	Niedersachsen
14822	Borkwalde	Landkreis Potsdam-Mittelmark	Brandenburg
53539	Borler	Landkreis Vulkaneifel	Rheinland-Pfalz
24863	Börm	Kreis Schleswig-Flensburg	Schleswig-Holstein
04552	Borna	Landkreis Leipzig	Sachsen
18375	Born a. Darß	Landkreis Vorpommern-Rügen	Mecklenburg-Vorpommern
39435	Borne	Salzlandkreis	Sachsen-Anhalt
37318	Bornhagen	Landkreis Eichsfeld	Thüringen
53332	Bornheim	Rhein-Sieg-Kreis	Nordrhein-Westfalen
55237	Bornheim	Landkreis Alzey-Worms	Rheinland-Pfalz
76879	Bornheim	Landkreis Südliche Weinstraße	Rheinland-Pfalz
25557	Bornholt	Kreis Rendsburg-Eckernförde	Schleswig-Holstein
25725	Bornholt	Kreis Rendsburg-Eckernförde	Schleswig-Holstein
24619	Bornhöved	Kreis Segeberg	Schleswig-Holstein
56348	Bornich	Rhein-Lahn-Kreis	Rheinland-Pfalz
09437	Börnichen	Erzgebirgskreis	Sachsen
21039	Börnsen	Kreis Herzogtum Lauenburg	Schleswig-Holstein
06295	Bornstedt	Landkreis Mansfeld-Südharz	Sachsen-Anhalt
57614	Borod	Westerwaldkreis	Rheinland-Pfalz
17111	Borrentin	Landkreis Mecklenburgische Seenplatte	Mecklenburg-Vorpommern
67725	Börrstadt	Donnersbergkreis	Rheinland-Pfalz
66904	Börsborn	Landkreis Kusel	Rheinland-Pfalz
04451	Borsdorf	Landkreis Leipzig	Sachsen
25376	Borsfleth	Kreis Steinburg	Schleswig-Holstein
89177	Börslingen	Alb-Donau-Kreis	Baden-Württemberg
38312	Börßum	Landkreis Wolfenbüttel	Niedersachsen
24616	Borstel	Kreis Segeberg	Schleswig-Holstein
27246	Borstel	Landkreis Diepholz	Niedersachsen
25494	Borstel-Hohenraden	Kreis Pinneberg	Schleswig-Holstein
23881	Borstorf	Kreis Herzogtum Lauenburg	Schleswig-Holstein
73104	Börtlingen	Landkreis Göppingen	Baden-Württemberg
06556	Borxleben	Kyffhäuserkreis	Thüringen
23715	Bosau	Kreis Ostholstein	Schleswig-Holstein
25899	Bosbüll	Kreis Nordfriesland	Schleswig-Holstein
24306	Bösdorf	Kreis Plön	Schleswig-Holstein
26219	Bösel	Landkreis Cloppenburg	Niedersachsen
66887	Bosenbach	Landkreis Kusel	Rheinland-Pfalz
08606	Bösenbrunn	Vogtlandkreis	Sachsen
78662	Bösingen	Landkreis Rottweil	Baden-Württemberg
99310	Bösleben-Wüllersleben	Ilm-Kreis	Thüringen
27367	Bötersen	Landkreis Rotenburg (Wümme)	Niedersachsen
27386	Bothel	Landkreis Rotenburg (Wümme)	Niedersachsen
24250	Bothkamp	Kreis Plön	Schleswig-Holstein
66504	Bottenbach	Landkreis Südwestpfalz	Rheinland-Pfalz
78583	Böttingen	Landkreis Tuttlingen	Baden-Württemberg
46236	Bottrop		Nordrhein-Westfalen
46238	Bottrop		Nordrhein-Westfalen
46240	Bottrop		Nordrhein-Westfalen
46242	Bottrop		Nordrhein-Westfalen
46244	Bottrop		Nordrhein-Westfalen
79268	Bötzingen	Landkreis Breisgau-Hochschwarzwald	Baden-Württemberg
66359	Bous	Landkreis Saarlouis	Saarland
24796	Bovenau	Kreis Rendsburg-Eckernförde	Schleswig-Holstein
37120	Bovenden	Landkreis Göttingen	Niedersachsen
97944	Boxberg	Main-Tauber-Kreis	Baden-Württemberg
54552	Boxberg	Landkreis Vulkaneifel	Rheinland-Pfalz
02943	Boxberg/O.L. - Hamor	Landkreis Görlitz	Sachsen
24994	Böxlund	Kreis Schleswig-Flensburg	Schleswig-Holstein
22145	Braak	Kreis Stormarn	Schleswig-Holstein
57555	Brachbach	Landkreis Altenkirchen	Rheinland-Pfalz
56761	Brachtendorf	Landkreis Cochem-Zell	Rheinland-Pfalz
63636	Brachttal	Main-Kinzig-Kreis	Hessen
21438	Brackel	Landkreis Harburg	Niedersachsen
74336	Brackenheim	Landkreis Heilbronn	Baden-Württemberg
25923	Braderup	Kreis Nordfriesland	Schleswig-Holstein
19273	Brahlstorf	Landkreis Ludwigslust-Parchim	Mecklenburg-Vorpommern
07554	Brahmenau	Landkreis Greiz	Thüringen
26919	Brake	Landkreis Wesermarsch	Niedersachsen
33034	Brakel	Kreis Höxter	Nordrhein-Westfalen
24793	Brammer	Kreis Rendsburg-Eckernförde	Schleswig-Holstein
49565	Bramsche	Landkreis Osnabrück	Niedersachsen
25926	Bramstedtlund	Kreis Nordfriesland	Schleswig-Holstein
95682	Brand	Landkreis Tirschenreuth	Bayern
25364	Brande-Hörnerkirchen	Kreis Pinneberg	Schleswig-Holstein
14770	Brandenburg an der Havel		Brandenburg
14772	Brandenburg an der Havel		Brandenburg
14774	Brandenburg an der Havel		Brandenburg
14776	Brandenburg an der Havel		Brandenburg
09618	Brand-Erbisdorf	Landkreis Mittelsachsen	Sachsen
04821	Brandis	Landkreis Leipzig	Sachsen
04824	Brandis	Landkreis Leipzig	Sachsen
56459	Brandscheid	Westerwaldkreis	Rheinland-Pfalz
54608	Brandscheid	Eifelkreis Bitburg-Prüm	Rheinland-Pfalz
83098	Brannenburg	Landkreis Rosenheim	Bayern
56338	Braubach	Rhein-Lahn-Kreis	Rheinland-Pfalz
54470	Brauneberg	Landkreis Bernkastel-Wittlich	Rheinland-Pfalz
54472	Brauneberg	Landkreis Bernkastel-Wittlich	Rheinland-Pfalz
35619	Braunfels	Lahn-Dill-Kreis	Hessen
07580	Braunichswalde	Landkreis Greiz	Thüringen
37444	Braunlage	Landkreis Goslar	Niedersachsen
38700	Braunlage	Landkreis Goslar	Niedersachsen
78199	Bräunlingen	Schwarzwald-Baar-Kreis	Baden-Württemberg
74542	Braunsbach	Landkreis Schwäbisch Hall	Baden-Württemberg
06242	Braunsbedra	Saalekreis	Sachsen-Anhalt
06259	Braunsbedra	Saalekreis	Sachsen-Anhalt
38100	Braunschweig		Niedersachsen
38102	Braunschweig		Niedersachsen
38104	Braunschweig		Niedersachsen
38106	Braunschweig		Niedersachsen
38108	Braunschweig		Niedersachsen
38110	Braunschweig		Niedersachsen
38112	Braunschweig		Niedersachsen
38114	Braunschweig		Niedersachsen
38116	Braunschweig		Niedersachsen
38118	Braunschweig		Niedersachsen
38120	Braunschweig		Niedersachsen
38122	Braunschweig		Niedersachsen
38124	Braunschweig		Niedersachsen
38126	Braunschweig		Niedersachsen
56288	Braunshorn	Rhein-Hunsrück-Kreis	Rheinland-Pfalz
55595	Braunweiler	Landkreis Bad Kreuznach	Rheinland-Pfalz
55606	Brauweiler	Landkreis Bad Kreuznach	Rheinland-Pfalz
65611	Brechen	Landkreis Limburg-Weilburg	Hessen
54636	Brecht	Eifelkreis Bitburg-Prüm	Rheinland-Pfalz
58339	Breckerfeld	Ennepe-Ruhr-Kreis	Nordrhein-Westfalen
26897	Breddenberg	Landkreis Emsland	Niedersachsen
16845	Breddin	Landkreis Ostprignitz-Ruppin	Brandenburg
27412	Breddorf	Landkreis Rotenburg (Wümme)	Niedersachsen
27726	Breddorf	Landkreis Rotenburg (Wümme)	Niedersachsen
24796	Bredenbek	Kreis Rendsburg-Eckernförde	Schleswig-Holstein
17153	Bredenfelde	Landkreis Mecklenburgische Seenplatte	Mecklenburg-Vorpommern
25821	Bredstedt	Kreis Nordfriesland	Schleswig-Holstein
18556	Breege	Landkreis Vorpommern-Rügen	Mecklenburg-Vorpommern
19322	Breese	Landkreis Prignitz	Brandenburg
17091	Breesen	Landkreis Mecklenburgische Seenplatte	Mecklenburg-Vorpommern
17089	Breest	Landkreis Mecklenburgische Seenplatte	Mecklenburg-Vorpommern
37339	Brehme	Landkreis Eichsfeld	Thüringen
35236	Breidenbach	Landkreis Marburg-Biedenkopf	Hessen
24797	Breiholz	Kreis Rendsburg-Eckernförde	Schleswig-Holstein
79206	Breisach am Rhein	Landkreis Breisgau-Hochschwarzwald	Baden-Württemberg
54426	Breit	Landkreis Bernkastel-Wittlich	Rheinland-Pfalz
96151	Breitbrunn	Landkreis Haßberge	Bayern
83254	Breitbrunn am Chiemsee	Landkreis Rosenheim	Bayern
56237	Breitenau	Westerwaldkreis	Rheinland-Pfalz
66916	Breitenbach	Landkreis Kusel	Rheinland-Pfalz
36287	Breitenbach am Herzberg	Landkreis Hersfeld-Rotenburg	Hessen
25597	Breitenberg	Kreis Steinburg	Schleswig-Holstein
94139	Breitenberg	Landkreis Passau	Bayern
87739	Breitenbrunn	Landkreis Unterallgäu	Bayern
92363	Breitenbrunn	Landkreis Neumarkt in der Oberpfalz	Bayern
08359	Breitenbrunn/Erzgebirge	Erzgebirgskreis	Sachsen
25524	Breitenburg	Kreis Steinburg	Schleswig-Holstein
23881	Breitenfelde	Kreis Herzogtum Lauenburg	Schleswig-Holstein
96149	Breitengüßbach	Landkreis Bamberg	Bayern
55592	Breitenheim	Landkreis Bad Kreuznach	Rheinland-Pfalz
86488	Breitenthal	Landkreis Günzburg	Bayern
55758	Breitenthal	Landkreis Birkenfeld	Rheinland-Pfalz
37339	Breitenworbis	Landkreis Eichsfeld	Thüringen
89183	Breitingen	Alb-Donau-Kreis	Baden-Württemberg
79874	Breitnau	Landkreis Breisgau-Hochschwarzwald	Baden-Württemberg
35767	Breitscheid	Lahn-Dill-Kreis	Hessen
53547	Breitscheid	Landkreis Neuwied	Rheinland-Pfalz
55422	Breitscheid	Landkreis Mainz-Bingen	Rheinland-Pfalz
57539	Breitscheidt	Landkreis Altenkirchen	Rheinland-Pfalz
98597	Breitungen/Werra	Landkreis Schmalkalden-Meiningen	Thüringen
24811	Brekendorf	Kreis Rendsburg-Eckernförde	Schleswig-Holstein
25821	Breklum	Kreis Nordfriesland	Schleswig-Holstein
56370	Bremberg	Rhein-Lahn-Kreis	Rheinland-Pfalz
27568	Bremen		Bremen
28195	Bremen		Bremen
28197	Bremen		Bremen
28199	Bremen		Bremen
28201	Bremen		Bremen
28203	Bremen		Bremen
28205	Bremen		Bremen
28207	Bremen		Bremen
28209	Bremen		Bremen
28211	Bremen		Bremen
28213	Bremen		Bremen
28215	Bremen		Bremen
28217	Bremen		Bremen
28219	Bremen		Bremen
28237	Bremen		Bremen
28239	Bremen		Bremen
28259	Bremen		Bremen
28277	Bremen		Bremen
28279	Bremen		Bremen
28307	Bremen		Bremen
28309	Bremen		Bremen
28325	Bremen		Bremen
28327	Bremen		Bremen
28329	Bremen		Bremen
28355	Bremen		Bremen
28357	Bremen		Bremen
28359	Bremen		Bremen
28717	Bremen		Bremen
28719	Bremen		Bremen
28755	Bremen		Bremen
28757	Bremen		Bremen
28759	Bremen		Bremen
28777	Bremen		Bremen
28779	Bremen		Bremen
27568	Bremerhaven		Bremen
27570	Bremerhaven		Bremen
27572	Bremerhaven		Bremen
27574	Bremerhaven		Bremen
27576	Bremerhaven		Bremen
27578	Bremerhaven		Bremen
27580	Bremerhaven		Bremen
27432	Bremervörde	Landkreis Rotenburg (Wümme)	Niedersachsen
56814	Bremm	Landkreis Cochem-Zell	Rheinland-Pfalz
07646	Bremsnitz	Saale-Holzland-Kreis	Thüringen
56651	Brenk	Landkreis Ahrweiler	Rheinland-Pfalz
93179	Brennberg	Landkreis Regensburg	Bayern
64395	Brensbach	Odenwaldkreis	Hessen
19306	Brenz	Landkreis Ludwigslust-Parchim	Mecklenburg-Vorpommern
19294	Bresegard bei Eldena	Landkreis Ludwigslust-Parchim	Mecklenburg-Vorpommern
19230	Bresegard bei Picher	Landkreis Ludwigslust-Parchim	Mecklenburg-Vorpommern
21698	Brest	Landkreis Stade	Niedersachsen
75015	Bretten	Landkreis Karlsruhe	Baden-Württemberg
56479	Bretthausen	Westerwaldkreis	Rheinland-Pfalz
55559	Bretzenheim	Landkreis Bad Kreuznach	Rheinland-Pfalz
74626	Bretzfeld	Hohenlohekreis	Baden-Württemberg
64747	Breuberg	Odenwaldkreis	Hessen
34479	Breuna	Landkreis Kassel	Hessen
67725	Breunigweiler	Donnersbergkreis	Rheinland-Pfalz
37647	Brevörde	Landkreis Holzminden	Niedersachsen
56321	Brey	Landkreis Mayen-Koblenz	Rheinland-Pfalz
16230	Breydin	Landkreis Barnim	Brandenburg
25712	Brickeln	Kreis Dithmarschen	Schleswig-Holstein
56850	Briedel	Landkreis Cochem-Zell	Rheinland-Pfalz
56867	Briedel	Landkreis Cochem-Zell	Rheinland-Pfalz
56829	Brieden	Landkreis Cochem-Zell	Rheinland-Pfalz
56820	Briedern	Landkreis Cochem-Zell	Rheinland-Pfalz
14656	Brieselang	Landkreis Havelland	Brandenburg
03096	Briesen	Landkreis Spree-Neiße	Brandenburg
15518	Briesen (Mark)	Landkreis Oder-Spree	Brandenburg
15295	Brieskow-Finkenheerd	Landkreis Oder-Spree	Brandenburg
21382	Brietlingen	Landkreis Lüneburg	Niedersachsen
17309	Brietzig	Landkreis Vorpommern-Greifswald	Mecklenburg-Vorpommern
78086	Brigachtal	Schwarzwald-Baar-Kreis	Baden-Württemberg
17153	Briggow	Landkreis Mecklenburgische Seenplatte	Mecklenburg-Vorpommern
59929	Brilon	Hochsauerlandkreis	Nordrhein-Westfalen
54646	Brimingen	Eifelkreis Bitburg-Prüm	Rheinland-Pfalz
24816	Brinjahe	Kreis Rendsburg-Eckernförde	Schleswig-Holstein
26835	Brinkum	Landkreis Leer	Niedersachsen
16230	Britz	Landkreis Barnim	Brandenburg
18258	Bröbberow	Landkreis Rostock	Mecklenburg-Vorpommern
27386	Brockel	Landkreis Rotenburg (Wümme)	Niedersachsen
29356	Bröckel	Landkreis Celle	Niedersachsen
54552	Brockscheid	Landkreis Vulkaneifel	Rheinland-Pfalz
49448	Brockum	Landkreis Diepholz	Niedersachsen
56332	Brodenbach	Landkreis Mayen-Koblenz	Rheinland-Pfalz
24398	Brodersby	Kreis Rendsburg-Eckernförde	Schleswig-Holstein
24864	Brodersby-Goltoft	Kreis Schleswig-Flensburg	Schleswig-Holstein
24235	Brodersdorf	Kreis Plön	Schleswig-Holstein
18184	Broderstorf	Landkreis Rostock	Mecklenburg-Vorpommern
56754	Brohl	Landkreis Cochem-Zell	Rheinland-Pfalz
56656	Brohl-Lützing	Landkreis Ahrweiler	Rheinland-Pfalz
25554	Brokdorf	Kreis Steinburg	Schleswig-Holstein
25576	Brokdorf	Kreis Steinburg	Schleswig-Holstein
24616	Brokstedt	Kreis Steinburg	Schleswig-Holstein
64753	Brombachtal	Odenwaldkreis	Hessen
38465	Brome	Landkreis Gifhorn	Niedersachsen
59969	Bromskirchen	Landkreis Waldeck-Frankenberg	Hessen
03205	Bronkow	Landkreis Oberspreewald-Lausitz	Brandenburg
21514	Bröthen	Kreis Herzogtum Lauenburg	Schleswig-Holstein
98596	Brotterode-Trusetal	Landkreis Schmalkalden-Meiningen	Thüringen
54518	Bruch	Landkreis Bernkastel-Wittlich	Rheinland-Pfalz
57539	Bruchertseifen	Landkreis Altenkirchen	Rheinland-Pfalz
53572	Bruchhausen	Landkreis Neuwied	Rheinland-Pfalz
27305	Bruchhausen-Vilsen	Landkreis Diepholz	Niedersachsen
63486	Bruchköbel	Main-Kinzig-Kreis	Hessen
66892	Bruchmühlbach-Miesau	Landkreis Kaiserslautern	Rheinland-Pfalz
76646	Bruchsal	Landkreis Karlsruhe	Baden-Württemberg
99955	Bruchstedt	Unstrut-Hainich-Kreis	Thüringen
55758	Bruchweiler	Landkreis Birkenfeld	Rheinland-Pfalz
76891	Bruchweiler-Bärenbach	Landkreis Südwestpfalz	Rheinland-Pfalz
85567	Bruck	Landkreis Ebersberg	Bayern
14822	Brück	Landkreis Potsdam-Mittelmark	Brandenburg
84079	Bruckberg	Landkreis Landshut	Bayern
91590	Bruckberg	Landkreis Ansbach	Bayern
55767	Brücken	Landkreis Birkenfeld	Rheinland-Pfalz
06528	Brücken-Hackpfüffel	Landkreis Mansfeld-Südharz	Sachsen-Anhalt
66904	Brücken (Pfalz)	Landkreis Kusel	Rheinland-Pfalz
92436	Bruck i.d.OPf.	Landkreis Schwandorf	Bayern
83052	Bruckmühl	Landkreis Rosenheim	Bayern
53539	Brücktal	Landkreis Vulkaneifel	Rheinland-Pfalz
19412	Brüel	Landkreis Ludwigslust-Parchim	Mecklenburg-Vorpommern
24582	Brügge	Kreis Rendsburg-Eckernförde	Schleswig-Holstein
41379	Brüggen	Kreis Viersen	Nordrhein-Westfalen
50321	Brühl	Rhein-Erft-Kreis	Nordrhein-Westfalen
68782	Brühl	Rhein-Neckar-Kreis	Baden-Württemberg
93164	Brunn	Landkreis Regensburg	Bayern
17039	Brunn	Landkreis Mecklenburgische Seenplatte	Mecklenburg-Vorpommern
86564	Brunnen	Landkreis Neuburg-Schrobenhausen	Bayern
85649	Brunnthal	Landkreis München	Bayern
98673	Brünn/Thür.	Landkreis Hildburghausen	Thüringen
19357	Brunow	Landkreis Ludwigslust-Parchim	Mecklenburg-Vorpommern
19372	Brunow	Landkreis Ludwigslust-Parchim	Mecklenburg-Vorpommern
22946	Brunsbek	Kreis Stormarn	Schleswig-Holstein
25541	Brunsbüttel	Kreis Dithmarschen	Schleswig-Holstein
23883	Brunsmark	Kreis Herzogtum Lauenburg	Schleswig-Holstein
21524	Brunstorf	Kreis Herzogtum Lauenburg	Schleswig-Holstein
17509	Brünzow	Landkreis Vorpommern-Greifswald	Mecklenburg-Vorpommern
55606	Bruschied	Landkreis Bad Kreuznach	Rheinland-Pfalz
19071	Brüsewitz	Landkreis Nordwestmecklenburg	Mecklenburg-Vorpommern
17326	Brüssow	Landkreis Uckermark	Brandenburg
56814	Bruttig-Fankel	Landkreis Cochem-Zell	Rheinland-Pfalz
56288	Bubach	Rhein-Hunsrück-Kreis	Rheinland-Pfalz
55270	Bubenheim	Landkreis Mainz-Bingen	Rheinland-Pfalz
67308	Bubenheim	Donnersbergkreis	Rheinland-Pfalz
91088	Bubenreuth	Landkreis Erlangen-Höchstadt	Bayern
89347	Bubesheim	Landkreis Günzburg	Bayern
67742	Buborn	Landkreis Kusel	Rheinland-Pfalz
78585	Bubsheim	Landkreis Tuttlingen	Baden-Württemberg
56357	Buch	Rhein-Lahn-Kreis	Rheinland-Pfalz
89290	Buch	Landkreis Neu-Ulm	Bayern
56290	Buch	Rhein-Hunsrück-Kreis	Rheinland-Pfalz
07751	Bucha	Saale-Holzland-Kreis	Thüringen
85656	Buch am Buchrain	Landkreis Erding	Bayern
84172	Buch am Erlbach	Landkreis Landshut	Bayern
91592	Buch am Wald	Landkreis Ansbach	Bayern
84428	Buchbach	Landkreis Mühldorf am Inn	Bayern
97320	Buchbrunn	Landkreis Kitzingen	Bayern
86675	Buchdorf	Landkreis Donau-Ries	Bayern
56823	Büchel	Landkreis Cochem-Zell	Rheinland-Pfalz
99638	Büchel	Landkreis Sömmerda	Thüringen
21514	Büchen	Kreis Herzogtum Lauenburg	Schleswig-Holstein
79256	Buchenbach	Landkreis Breisgau-Hochschwarzwald	Baden-Württemberg
91186	Büchenbach	Landkreis Roth	Bayern
87474	Buchenberg	Landkreis Oberallgäu	Bayern
55491	Büchenbeuren	Rhein-Hunsrück-Kreis	Rheinland-Pfalz
74722	Buchen (Odenwald)	Neckar-Odenwald-Kreis	Baden-Württemberg
54608	Buchet	Eifelkreis Bitburg-Prüm	Rheinland-Pfalz
99438	Buchfart	Landkreis Weimarer Land	Thüringen
78567	Buchheim	Landkreis Tuttlingen	Baden-Württemberg
88637	Buchheim	Landkreis Tuttlingen	Baden-Württemberg
94533	Buchhofen	Landkreis Deggendorf	Bayern
25712	Buchholz	Kreis Dithmarschen	Schleswig-Holstein
31710	Buchholz	Landkreis Schaumburg	Niedersachsen
23911	Buchholz	Kreis Herzogtum Lauenburg	Schleswig-Holstein
17209	Buchholz	Landkreis Mecklenburgische Seenplatte	Mecklenburg-Vorpommern
29690	Buchholz (Aller)	Landkreis Heidekreis	Niedersachsen
21244	Buchholz in der Nordheide	Landkreis Harburg	Niedersachsen
53567	Buchholz (Westerwald)	Landkreis Neuwied	Rheinland-Pfalz
21481	Buchhorst	Kreis Herzogtum Lauenburg	Schleswig-Holstein
94124	Büchlberg	Landkreis Passau	Bayern
86807	Buchloe	Landkreis Ostallgäu	Bayern
14793	Buckautal	Landkreis Potsdam-Mittelmark	Brandenburg
31675	Bückeburg	Landkreis Schaumburg	Niedersachsen
27333	Bücken	Landkreis Nienburg/Weser	Niedersachsen
91054	Buckenhof	Landkreis Erlangen-Höchstadt	Bayern
15377	Buckow	Landkreis Märkisch-Oderland	Brandenburg
24782	Büdelsdorf	Kreis Rendsburg-Eckernförde	Schleswig-Holstein
55469	Budenbach	Rhein-Hunsrück-Kreis	Rheinland-Pfalz
55257	Budenheim	Landkreis Mainz-Bingen	Rheinland-Pfalz
54610	Büdesheim	Eifelkreis Bitburg-Prüm	Rheinland-Pfalz
63654	Büdingen	Wetteraukreis	Hessen
54426	Büdlich	Landkreis Bernkastel-Wittlich	Rheinland-Pfalz
17398	Bugewitz	Landkreis Vorpommern-Greifswald	Mecklenburg-Vorpommern
17440	Buggenhagen	Landkreis Vorpommern-Greifswald	Mecklenburg-Vorpommern
79426	Buggingen	Landkreis Breisgau-Hochschwarzwald	Baden-Württemberg
77815	Bühl	Landkreis Rastatt	Baden-Württemberg
37339	Buhla	Landkreis Eichsfeld	Thüringen
55767	Buhlenberg	Landkreis Birkenfeld	Rheinland-Pfalz
77830	Bühlertal	Landkreis Rastatt	Baden-Württemberg
74424	Bühlertann	Landkreis Schwäbisch Hall	Baden-Württemberg
74426	Bühlerzell	Landkreis Schwäbisch Hall	Baden-Württemberg
23845	Bühnsdorf	Kreis Segeberg	Schleswig-Holstein
37127	Bühren	Landkreis Göttingen	Niedersachsen
21782	Bülkau	Landkreis Cuxhaven	Niedersachsen
56859	Bullay	Landkreis Cochem-Zell	Rheinland-Pfalz
25355	Bullenkuhlen	Kreis Pinneberg	Schleswig-Holstein
19089	Bülow	Landkreis Ludwigslust-Parchim	Mecklenburg-Vorpommern
27412	Bülstedt	Landkreis Rotenburg (Wümme)	Niedersachsen
39345	Bülstringen	Landkreis Börde	Sachsen-Anhalt
26831	Bunde	Landkreis Leer	Niedersachsen
32257	Bünde	Kreis Herford	Nordrhein-Westfalen
55626	Bundenbach	Landkreis Birkenfeld	Rheinland-Pfalz
76891	Bundenthal	Landkreis Südwestpfalz	Rheinland-Pfalz
97494	Bundorf	Landkreis Haßberge	Bayern
24794	Bünsdorf	Kreis Rendsburg-Eckernförde	Schleswig-Holstein
25767	Bunsoh	Kreis Dithmarschen	Schleswig-Holstein
57299	Burbach	Kreis Siegen-Wittgenstein	Nordrhein-Westfalen
54597	Burbach	Eifelkreis Bitburg-Prüm	Rheinland-Pfalz
